OSEBuildingID,BuildingType,PrimaryPropertyType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFABuilding,ENERGYSTARScore,SiteEnergyUse,SteamUse,Electricity,NaturalGas,OtherFuelUse,GHGEmissions,BuildingAge,IsSteamUser,IsElectricityUser,IsNaturalGasUser,IsOtherFuelUser,NumberOfUsedEnergies,MostUsedEnergy,GatheredPrimaryPropertyType,LogSiteEnergyUse,LogGHGEmissions
805,NonResidential,Distribution Center,GREATER DUWAMISH,1986,1.0,1.0,411584.0,43.0,15091579.0,0.0,7501894.0,7589685.0,0.0,455.39,30,0.0,1.0,1.0,0.0,2.0,NaturalGas,Distribution Center,16.52964753036555,6.1233477071431475
806,NonResidential,Mixed Use Property,DOWNTOWN,1902,1.0,4.0,73320.0,,1141189.75,0.0,681682.0,459508.0,0.0,29.16,114,0.0,1.0,1.0,0.0,2.0,Electricity,Mixed Use Property,13.947582792785653,3.4065165431397553
807,NonResidential,Large Office,MAGNOLIA / QUEEN ANNE,2008,1.0,4.0,142510.0,77.0,9683979.0,0.0,9683978.0,0.0,0.0,67.51,8,0.0,1.0,0.0,0.0,1.0,Electricity,Office,16.085983531775664,4.226979720014808
809,NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1900,1.0,6.0,79920.0,83.0,5392617.5,0.0,4593859.0,798758.0,0.0,74.45,116,0.0,1.0,1.0,0.0,2.0,Electricity,Office,15.500541631969233,4.323470185213858
811,NonResidential,Warehouse,GREATER DUWAMISH,1946,1.0,1.0,179413.0,57.0,3459543.0,0.0,3459542.0,0.0,0.0,24.12,70,0.0,1.0,0.0,0.0,1.0,Electricity,Warehouse,15.056647346441077,3.223664341599998
812,NonResidential,Warehouse,GREATER DUWAMISH,1917,1.0,1.0,65288.0,,605971.1875,0.0,605971.0,0.0,0.0,4.22,99,0.0,1.0,0.0,0.0,1.0,Electricity,Warehouse,13.314589368783713,1.6524974018945473
813,NonResidential,Warehouse,DELRIDGE,1966,1.0,1.0,170632.0,98.0,602245.0,0.0,602245.0,0.0,0.0,4.2,50,0.0,1.0,0.0,0.0,1.0,Electricity,Warehouse,13.308421278694995,1.6486586255873816
814,NonResidential,Large Office,MAGNOLIA / QUEEN ANNE,1994,1.0,10.0,381511.0,87.0,11410228.0,0.0,10834205.0,576022.0,0.0,106.12,22,0.0,1.0,1.0,0.0,2.0,Electricity,Office,16.250020791750792,4.673949701382917
815,NonResidential,Large Office,DOWNTOWN,2009,1.0,17.0,275166.0,91.0,13631141.0,0.0,13631140.0,0.0,0.0,95.03,7,0.0,1.0,0.0,0.0,1.0,Electricity,Office,16.427867585929576,4.564660642649882
817,NonResidential,Mixed Use Property,NORTHEAST,2009,1.0,6.0,68100.0,63.0,4865551.5,0.0,3880094.0,985457.0,0.0,79.39,7,0.0,1.0,1.0,0.0,2.0,Electricity,Mixed Use Property,15.397690833443905,4.386889790339869
